colid,colname
10609_0_39,Words answer array (pilot)
10609_0_40,Words answer array (pilot)
10609_0_41,Words answer array (pilot)
10609_0_42,Words answer array (pilot)
10609_0_43,Words answer array (pilot)
10609_0_44,Words answer array (pilot)
10609_0_45,Words answer array (pilot)
10609_0_46,Words answer array (pilot)
10609_0_47,Words answer array (pilot)
10609_0_48,Words answer array (pilot)
10609_0_49,Words answer array (pilot)
10609_0_50,Words answer array (pilot)
10610_0_0,Word count (pilot)
10612_0_0,Number of words beginning with 'S' (pilot)
10691_0_1,Result ranking (pilot)
10691_0_2,Result ranking (pilot)
10691_0_3,Result ranking (pilot)
10691_0_4,Result ranking (pilot)
10693_0_1,Acceptability of each blow result (pilot)
10693_0_2,Acceptability of each blow result (pilot)
10693_0_3,Acceptability of each blow result (pilot)
10693_0_4,Acceptability of each blow result (pilot)
10694_0_1,Forced vital capacity (FVC) (pilot)
10694_0_2,Forced vital capacity (FVC) (pilot)
10694_0_3,Forced vital capacity (FVC) (pilot)
10694_0_4,Forced vital capacity (FVC) (pilot)
10695_0_1,Forced expiratory volume in 1-second (FEV1) (pilot)
10695_0_2,Forced expiratory volume in 1-second (FEV1) (pilot)
10695_0_3,Forced expiratory volume in 1-second (FEV1) (pilot)
10695_0_4,Forced expiratory volume in 1-second (FEV1) (pilot)
10696_0_1,Peak expiratory flow (PEF) (pilot)
10696_0_2,Peak expiratory flow (PEF) (pilot)
10696_0_3,Peak expiratory flow (PEF) (pilot)
10696_0_4,Peak expiratory flow (PEF) (pilot)
10697_0_1,Data points for blow (pilot)
10697_0_2,Data points for blow (pilot)
10697_0_3,Data points for blow (pilot)
10697_0_4,Data points for blow (pilot)
10711_0_0,Spirometry method (pilot)
10714_0_0,Spirometry device serial number (pilot)
10717_0_0,Number of measurements made (pilot)
10721_0_0,"Illness, injury, bereavement, stress in last 2 years (pilot)"
10721_0_1,"Illness, injury, bereavement, stress in last 2 years (pilot)"
10721_0_2,"Illness, injury, bereavement, stress in last 2 years (pilot)"
10721_0_3,"Illness, injury, bereavement, stress in last 2 years (pilot)"
10721_0_4,"Illness, injury, bereavement, stress in last 2 years (pilot)"
10722_0_0,Qualifications (pilot)
10722_0_1,Qualifications (pilot)
10722_0_2,Qualifications (pilot)
10722_0_3,Qualifications (pilot)
10722_0_4,Qualifications (pilot)
10723_0_0,Vitamin supplements (pilot)
10723_0_1,Vitamin supplements (pilot)
10723_0_2,Vitamin supplements (pilot)
10723_0_3,Vitamin supplements (pilot)
10723_0_4,Vitamin supplements (pilot)
10723_0_5,Vitamin supplements (pilot)
10740_0_0,Frequency of friend/family visits (pilot)
10749_0_0,Time using mobile phone in last 3 months (pilot)
10767_0_0,Spread type (pilot)
10776_0_0,Bread type/intake (pilot)
10793_0_0,Hearing difficulty/problems (pilot)
10818_0_0,Reason for reducing amount of alcohol drunk (pilot)
10827_0_0,Ever stopped smoking for 6+ months (pilot)
10844_0_0,Gestational diabetes only (pilot)
10853_0_0,Reason former drinker stopped drinking alcohol (pilot)
10854_0_0,Other dietary supplements (pilot)
10854_0_1,Other dietary supplements (pilot)
10854_0_2,Other dietary supplements (pilot)
10854_0_3,Other dietary supplements (pilot)
10854_0_4,Other dietary supplements (pilot)
10854_0_5,Other dietary supplements (pilot)
10855_0_0,"Never eat eggs, dairy, wheat, sugar (pilot)"
10855_0_1,"Never eat eggs, dairy, wheat, sugar (pilot)"
10855_0_2,"Never eat eggs, dairy, wheat, sugar (pilot)"
10855_0_3,"Never eat eggs, dairy, wheat, sugar (pilot)"
10860_0_0,Gas or solid-fuel cooking/heating (pilot)
10860_0_1,Gas or solid-fuel cooking/heating (pilot)
10860_0_2,Gas or solid-fuel cooking/heating (pilot)
10877_0_0,Average total household income before tax (pilot)
10886_0_0,Difference in mobile phone use compared to one year previously (pilot)
10895_0_0,"Light smokers, at least 100 smokes in lifetime (pilot)"
10912_0_0,Variation in diet (pilot)
10953_0_0,Duration of walks (pilot)
10962_0_0,Duration of moderate physical activity (pilot)
10971_0_0,Duration of vigorous physical activity (pilot)
12139_2_0,Believed safe to perform brain MRI scan
12139_3_0,Believed safe to perform brain MRI scan
12143_2_0,Weight (pre-imaging)
12143_3_0,Weight (pre-imaging)
12144_2_0,Height
12144_3_0,Height
12187_2_0,Brain MRI measuring method
12187_3_0,Brain MRI measuring method
12188_2_0,Operator indicated brain MRI measurement completed
12188_3_0,Operator indicated brain MRI measurement completed
12291_2_0,Carotid ultrasound measuring method
12291_3_0,Carotid ultrasound measuring method
12292_2_0,Carotid ultrasound measurement completed
12292_3_0,Carotid ultrasound measurement completed
12323_2_0,12-lead ECG measuring method
12323_3_0,12-lead ECG measuring method
12336_2_0,Ventricular rate
12336_3_0,Ventricular rate
12338_2_0,P duration
12338_3_0,P duration
12340_2_0,QRS duration
12340_3_0,QRS duration
12651_2_0,Duration of eprime test
12651_3_0,Duration of eprime test
12653_2_0,ECG automated diagnoses
12653_2_1,ECG automated diagnoses
12653_2_2,ECG automated diagnoses
12653_2_3,ECG automated diagnoses
12653_2_4,ECG automated diagnoses
12653_2_5,ECG automated diagnoses
12653_2_6,ECG automated diagnoses
12653_2_7,ECG automated diagnoses
12653_2_8,ECG automated diagnoses
12653_2_9,ECG automated diagnoses
12653_2_10,ECG automated diagnoses
12653_2_11,ECG automated diagnoses
12653_2_12,ECG automated diagnoses
12653_2_13,ECG automated diagnoses
12653_2_14,ECG automated diagnoses
12653_3_0,ECG automated diagnoses
12653_3_1,ECG automated diagnoses
12653_3_2,ECG automated diagnoses
12653_3_3,ECG automated diagnoses
12653_3_4,ECG automated diagnoses
12653_3_5,ECG automated diagnoses
12653_3_6,ECG automated diagnoses
12653_3_7,ECG automated diagnoses
12653_3_8,ECG automated diagnoses
12653_3_9,ECG automated diagnoses
12653_3_10,ECG automated diagnoses
12653_3_11,ECG automated diagnoses
12653_3_12,ECG automated diagnoses
12653_3_13,ECG automated diagnoses
12653_3_14,ECG automated diagnoses
12654_2_0,Number of automated diagnostic comments recorded during 12-lead ECG
12654_3_0,Number of automated diagnostic comments recorded during 12-lead ECG
12657_2_0,Suspicious flag for 12-lead ECG
12658_2_0,Identifier for 12-lead ECG device
12658_3_0,Identifier for 12-lead ECG device
12706_2_0,Eprime error flag
12706_3_0,Eprime error flag
20001_0_0,"Cancer code, self-reported"
20001_0_1,"Cancer code, self-reported"
20001_0_2,"Cancer code, self-reported"
20001_0_3,"Cancer code, self-reported"
20001_0_4,"Cancer code, self-reported"
20001_0_5,"Cancer code, self-reported"
20001_1_0,"Cancer code, self-reported"
20001_1_1,"Cancer code, self-reported"
20001_1_2,"Cancer code, self-reported"
20001_1_3,"Cancer code, self-reported"
20001_1_4,"Cancer code, self-reported"
20001_1_5,"Cancer code, self-reported"
20001_2_0,"Cancer code, self-reported"
20001_2_1,"Cancer code, self-reported"
20001_2_2,"Cancer code, self-reported"
20001_2_3,"Cancer code, self-reported"
20001_2_4,"Cancer code, self-reported"
20001_2_5,"Cancer code, self-reported"
20001_3_0,"Cancer code, self-reported"
20001_3_1,"Cancer code, self-reported"
20001_3_2,"Cancer code, self-reported"
20001_3_3,"Cancer code, self-reported"
20001_3_4,"Cancer code, self-reported"
20001_3_5,"Cancer code, self-reported"
20002_0_0,"Non-cancer illness code, self-reported"
20002_0_1,"Non-cancer illness code, self-reported"
20002_0_2,"Non-cancer illness code, self-reported"
20002_0_3,"Non-cancer illness code, self-reported"
20002_0_4,"Non-cancer illness code, self-reported"
20002_0_5,"Non-cancer illness code, self-reported"
20002_0_6,"Non-cancer illness code, self-reported"
20002_0_7,"Non-cancer illness code, self-reported"
20002_0_8,"Non-cancer illness code, self-reported"
20002_0_9,"Non-cancer illness code, self-reported"
20002_0_10,"Non-cancer illness code, self-reported"
20002_0_11,"Non-cancer illness code, self-reported"
20002_0_12,"Non-cancer illness code, self-reported"
20002_0_13,"Non-cancer illness code, self-reported"
20002_0_14,"Non-cancer illness code, self-reported"
20002_0_15,"Non-cancer illness code, self-reported"
20002_0_16,"Non-cancer illness code, self-reported"
20002_0_17,"Non-cancer illness code, self-reported"
20002_0_18,"Non-cancer illness code, self-reported"
20002_0_19,"Non-cancer illness code, self-reported"
20002_0_20,"Non-cancer illness code, self-reported"
20002_0_21,"Non-cancer illness code, self-reported"
20002_0_22,"Non-cancer illness code, self-reported"
20002_0_23,"Non-cancer illness code, self-reported"
20002_0_24,"Non-cancer illness code, self-reported"
20002_0_25,"Non-cancer illness code, self-reported"
20002_0_26,"Non-cancer illness code, self-reported"
20002_0_27,"Non-cancer illness code, self-reported"
20002_0_28,"Non-cancer illness code, self-reported"
20002_0_29,"Non-cancer illness code, self-reported"
20002_0_30,"Non-cancer illness code, self-reported"
20002_0_31,"Non-cancer illness code, self-reported"
20002_0_32,"Non-cancer illness code, self-reported"
20002_0_33,"Non-cancer illness code, self-reported"
20002_1_0,"Non-cancer illness code, self-reported"
20002_1_1,"Non-cancer illness code, self-reported"
20002_1_2,"Non-cancer illness code, self-reported"
20002_1_3,"Non-cancer illness code, self-reported"
20002_1_4,"Non-cancer illness code, self-reported"
20002_1_5,"Non-cancer illness code, self-reported"
20002_1_6,"Non-cancer illness code, self-reported"
20002_1_7,"Non-cancer illness code, self-reported"
20002_1_8,"Non-cancer illness code, self-reported"
20002_1_9,"Non-cancer illness code, self-reported"
20002_1_10,"Non-cancer illness code, self-reported"
20200_0_24,Values wanted
20002_1_11,"Non-cancer illness code, self-reported"
20002_1_12,"Non-cancer illness code, self-reported"
20002_1_13,"Non-cancer illness code, self-reported"
20002_1_14,"Non-cancer illness code, self-reported"
20002_1_15,"Non-cancer illness code, self-reported"
20002_1_16,"Non-cancer illness code, self-reported"
20002_1_17,"Non-cancer illness code, self-reported"
20002_1_18,"Non-cancer illness code, self-reported"
20002_1_19,"Non-cancer illness code, self-reported"
20002_1_20,"Non-cancer illness code, self-reported"
20002_1_21,"Non-cancer illness code, self-reported"
20002_1_22,"Non-cancer illness code, self-reported"
20002_1_23,"Non-cancer illness code, self-reported"
20002_1_24,"Non-cancer illness code, self-reported"
20002_1_25,"Non-cancer illness code, self-reported"
20002_1_26,"Non-cancer illness code, self-reported"
20002_1_27,"Non-cancer illness code, self-reported"
20002_1_28,"Non-cancer illness code, self-reported"
20002_1_29,"Non-cancer illness code, self-reported"
20002_1_30,"Non-cancer illness code, self-reported"
20002_1_31,"Non-cancer illness code, self-reported"
20002_1_32,"Non-cancer illness code, self-reported"
20002_1_33,"Non-cancer illness code, self-reported"
20002_2_0,"Non-cancer illness code, self-reported"
20002_2_1,"Non-cancer illness code, self-reported"
20002_2_2,"Non-cancer illness code, self-reported"
20002_2_3,"Non-cancer illness code, self-reported"
20002_2_4,"Non-cancer illness code, self-reported"
20002_2_5,"Non-cancer illness code, self-reported"
20002_2_6,"Non-cancer illness code, self-reported"
20002_2_7,"Non-cancer illness code, self-reported"
20002_2_8,"Non-cancer illness code, self-reported"
20002_2_9,"Non-cancer illness code, self-reported"
20002_2_10,"Non-cancer illness code, self-reported"
20002_2_11,"Non-cancer illness code, self-reported"
20002_2_12,"Non-cancer illness code, self-reported"
20002_2_13,"Non-cancer illness code, self-reported"
20002_2_14,"Non-cancer illness code, self-reported"
20002_2_15,"Non-cancer illness code, self-reported"
20002_2_16,"Non-cancer illness code, self-reported"
20002_2_17,"Non-cancer illness code, self-reported"
20002_2_18,"Non-cancer illness code, self-reported"
20002_2_19,"Non-cancer illness code, self-reported"
20002_2_20,"Non-cancer illness code, self-reported"
20002_2_21,"Non-cancer illness code, self-reported"
20002_2_22,"Non-cancer illness code, self-reported"
20002_2_23,"Non-cancer illness code, self-reported"
20002_2_24,"Non-cancer illness code, self-reported"
20002_2_25,"Non-cancer illness code, self-reported"
20002_2_26,"Non-cancer illness code, self-reported"
20002_2_27,"Non-cancer illness code, self-reported"
20002_2_28,"Non-cancer illness code, self-reported"
20002_2_29,"Non-cancer illness code, self-reported"
20002_2_30,"Non-cancer illness code, self-reported"
20002_2_31,"Non-cancer illness code, self-reported"
20002_2_32,"Non-cancer illness code, self-reported"
20002_2_33,"Non-cancer illness code, self-reported"
20002_3_0,"Non-cancer illness code, self-reported"
20002_3_1,"Non-cancer illness code, self-reported"
20002_3_2,"Non-cancer illness code, self-reported"
20002_3_3,"Non-cancer illness code, self-reported"
20002_3_4,"Non-cancer illness code, self-reported"
20002_3_5,"Non-cancer illness code, self-reported"
20002_3_6,"Non-cancer illness code, self-reported"
20002_3_7,"Non-cancer illness code, self-reported"
20002_3_8,"Non-cancer illness code, self-reported"
20002_3_9,"Non-cancer illness code, self-reported"
20002_3_10,"Non-cancer illness code, self-reported"
20002_3_11,"Non-cancer illness code, self-reported"
20002_3_12,"Non-cancer illness code, self-reported"
20002_3_13,"Non-cancer illness code, self-reported"
20002_3_14,"Non-cancer illness code, self-reported"
20002_3_15,"Non-cancer illness code, self-reported"
20002_3_16,"Non-cancer illness code, self-reported"
20002_3_17,"Non-cancer illness code, self-reported"
20002_3_18,"Non-cancer illness code, self-reported"
20002_3_19,"Non-cancer illness code, self-reported"
20002_3_20,"Non-cancer illness code, self-reported"
20002_3_21,"Non-cancer illness code, self-reported"
20002_3_22,"Non-cancer illness code, self-reported"
20002_3_23,"Non-cancer illness code, self-reported"
20002_3_24,"Non-cancer illness code, self-reported"
20002_3_25,"Non-cancer illness code, self-reported"
20002_3_26,"Non-cancer illness code, self-reported"
20002_3_27,"Non-cancer illness code, self-reported"
20002_3_28,"Non-cancer illness code, self-reported"
20002_3_29,"Non-cancer illness code, self-reported"
20002_3_30,"Non-cancer illness code, self-reported"
20002_3_31,"Non-cancer illness code, self-reported"
20002_3_32,"Non-cancer illness code, self-reported"
20002_3_33,"Non-cancer illness code, self-reported"
20003_0_0,Treatment/medication code
20003_0_1,Treatment/medication code
20003_0_2,Treatment/medication code
20003_0_3,Treatment/medication code
20003_0_4,Treatment/medication code
20003_0_5,Treatment/medication code
20003_0_6,Treatment/medication code
20003_0_7,Treatment/medication code
20003_0_8,Treatment/medication code
20003_0_9,Treatment/medication code
20003_0_10,Treatment/medication code
20003_0_11,Treatment/medication code
20003_0_12,Treatment/medication code
20003_0_13,Treatment/medication code
20003_0_14,Treatment/medication code
20003_0_15,Treatment/medication code
20003_0_16,Treatment/medication code
20003_0_17,Treatment/medication code
20003_0_18,Treatment/medication code
20003_0_19,Treatment/medication code
20003_0_20,Treatment/medication code
20003_0_21,Treatment/medication code
20003_0_22,Treatment/medication code
20003_0_23,Treatment/medication code
20003_0_24,Treatment/medication code
20003_0_25,Treatment/medication code
20003_0_26,Treatment/medication code
20003_0_27,Treatment/medication code
20003_0_28,Treatment/medication code
20003_0_29,Treatment/medication code
20003_0_30,Treatment/medication code
20003_0_31,Treatment/medication code
20003_0_32,Treatment/medication code
20003_0_33,Treatment/medication code
20003_0_34,Treatment/medication code
20003_0_35,Treatment/medication code
20003_0_36,Treatment/medication code
20003_0_37,Treatment/medication code
20003_0_38,Treatment/medication code
20003_0_39,Treatment/medication code
20003_0_40,Treatment/medication code
20003_0_41,Treatment/medication code
20003_0_42,Treatment/medication code
20003_0_43,Treatment/medication code
20003_0_44,Treatment/medication code
20003_0_45,Treatment/medication code
20003_0_46,Treatment/medication code
20003_0_47,Treatment/medication code
20003_1_0,Treatment/medication code
20003_1_1,Treatment/medication code
20003_1_2,Treatment/medication code
20003_1_3,Treatment/medication code
20003_1_4,Treatment/medication code
20003_1_5,Treatment/medication code
20003_1_6,Treatment/medication code
20003_1_7,Treatment/medication code
20003_1_8,Treatment/medication code
20003_1_9,Treatment/medication code
20003_1_10,Treatment/medication code
20003_1_11,Treatment/medication code
20003_1_12,Treatment/medication code
20003_1_13,Treatment/medication code
20003_1_14,Treatment/medication code
20003_1_15,Treatment/medication code
20003_1_16,Treatment/medication code
20003_1_17,Treatment/medication code
20003_1_18,Treatment/medication code
20003_1_19,Treatment/medication code
20003_1_20,Treatment/medication code
20003_1_21,Treatment/medication code
20003_1_22,Treatment/medication code
20003_1_23,Treatment/medication code
20003_1_24,Treatment/medication code
20003_1_25,Treatment/medication code
20003_1_26,Treatment/medication code
20003_1_27,Treatment/medication code
20003_1_28,Treatment/medication code
20003_1_29,Treatment/medication code
20003_1_30,Treatment/medication code
20003_1_31,Treatment/medication code
20003_1_32,Treatment/medication code
20003_1_33,Treatment/medication code
20003_1_34,Treatment/medication code
20003_1_35,Treatment/medication code
20003_1_36,Treatment/medication code
20003_1_37,Treatment/medication code
20003_1_38,Treatment/medication code
20003_1_39,Treatment/medication code
20003_1_40,Treatment/medication code
20003_1_41,Treatment/medication code
20003_1_42,Treatment/medication code
20003_1_43,Treatment/medication code
20003_1_44,Treatment/medication code
20003_1_45,Treatment/medication code
20003_1_46,Treatment/medication code
20003_1_47,Treatment/medication code
20003_2_0,Treatment/medication code
20003_2_1,Treatment/medication code
20003_2_2,Treatment/medication code
20003_2_3,Treatment/medication code
20003_2_4,Treatment/medication code
20003_2_5,Treatment/medication code
20003_2_6,Treatment/medication code
20003_2_7,Treatment/medication code
20003_2_8,Treatment/medication code
20003_2_9,Treatment/medication code
20003_2_10,Treatment/medication code
20003_2_11,Treatment/medication code
20003_2_12,Treatment/medication code
20003_2_13,Treatment/medication code
20003_2_14,Treatment/medication code
20003_2_15,Treatment/medication code
20003_2_16,Treatment/medication code
20003_2_17,Treatment/medication code
20003_2_18,Treatment/medication code
20003_2_19,Treatment/medication code
20003_2_20,Treatment/medication code
20003_2_21,Treatment/medication code
20003_2_22,Treatment/medication code
20003_2_23,Treatment/medication code
20003_2_24,Treatment/medication code
20003_2_25,Treatment/medication code
20003_2_26,Treatment/medication code
20003_2_27,Treatment/medication code
20003_2_28,Treatment/medication code
20003_2_29,Treatment/medication code
20003_2_30,Treatment/medication code
20003_2_31,Treatment/medication code
20003_2_32,Treatment/medication code
20003_2_33,Treatment/medication code
20003_2_34,Treatment/medication code
20003_2_35,Treatment/medication code
20003_2_36,Treatment/medication code
20003_2_37,Treatment/medication code
20003_2_38,Treatment/medication code
20003_2_39,Treatment/medication code
20003_2_40,Treatment/medication code
20003_2_41,Treatment/medication code
20003_2_42,Treatment/medication code
20003_2_43,Treatment/medication code
20003_2_44,Treatment/medication code
20003_2_45,Treatment/medication code
20003_2_46,Treatment/medication code
20003_2_47,Treatment/medication code
20003_3_0,Treatment/medication code
20003_3_1,Treatment/medication code
20003_3_2,Treatment/medication code
20003_3_3,Treatment/medication code
20003_3_4,Treatment/medication code
20003_3_5,Treatment/medication code
20003_3_6,Treatment/medication code
20003_3_7,Treatment/medication code
20003_3_8,Treatment/medication code
20003_3_9,Treatment/medication code
20003_3_10,Treatment/medication code
20003_3_11,Treatment/medication code
20003_3_12,Treatment/medication code
20003_3_13,Treatment/medication code
20003_3_14,Treatment/medication code
20003_3_15,Treatment/medication code
20003_3_16,Treatment/medication code
20003_3_17,Treatment/medication code
20003_3_18,Treatment/medication code
20003_3_19,Treatment/medication code
20003_3_20,Treatment/medication code
20003_3_21,Treatment/medication code
20003_3_22,Treatment/medication code
20003_3_23,Treatment/medication code
20003_3_24,Treatment/medication code
20003_3_25,Treatment/medication code
20003_3_26,Treatment/medication code
20003_3_27,Treatment/medication code
20003_3_28,Treatment/medication code
20003_3_29,Treatment/medication code
20003_3_30,Treatment/medication code
20003_3_31,Treatment/medication code
20003_3_32,Treatment/medication code
20003_3_33,Treatment/medication code
20003_3_34,Treatment/medication code
20003_3_35,Treatment/medication code
20003_3_36,Treatment/medication code
20003_3_37,Treatment/medication code
20003_3_38,Treatment/medication code
20003_3_39,Treatment/medication code
20003_3_40,Treatment/medication code
20003_3_41,Treatment/medication code
20003_3_42,Treatment/medication code
20003_3_43,Treatment/medication code
20003_3_44,Treatment/medication code
20003_3_45,Treatment/medication code
20003_3_46,Treatment/medication code
20003_3_47,Treatment/medication code
20004_0_0,Operation code
20004_0_1,Operation code
20004_0_2,Operation code
20004_0_3,Operation code
20004_0_4,Operation code
20004_0_5,Operation code
20004_0_6,Operation code
20004_0_7,Operation code
20004_0_8,Operation code
20004_0_9,Operation code
20004_0_10,Operation code
20004_0_11,Operation code
20004_0_12,Operation code
20004_0_13,Operation code
20004_0_14,Operation code
20004_0_15,Operation code
20004_0_16,Operation code
20004_0_17,Operation code
20004_0_18,Operation code
20004_0_19,Operation code
20004_0_20,Operation code
20004_0_21,Operation code
20004_0_22,Operation code
20004_0_23,Operation code
20004_0_24,Operation code
20004_0_25,Operation code
20004_0_26,Operation code
20004_0_27,Operation code
20004_0_28,Operation code
20004_0_29,Operation code
20004_0_30,Operation code
20004_0_31,Operation code
20004_1_0,Operation code
20004_1_1,Operation code
20004_1_2,Operation code
20004_1_3,Operation code
20004_1_4,Operation code
20004_1_5,Operation code
20004_1_6,Operation code
20004_1_7,Operation code
20004_1_8,Operation code
20004_1_9,Operation code
20004_1_10,Operation code
20004_1_11,Operation code
20004_1_12,Operation code
20004_1_13,Operation code
20004_1_14,Operation code
20004_1_15,Operation code
20004_1_16,Operation code
20004_1_17,Operation code
20004_1_18,Operation code
20004_1_19,Operation code
20004_1_20,Operation code
20004_1_21,Operation code
20004_1_22,Operation code
20004_1_23,Operation code
20004_1_24,Operation code
20004_1_25,Operation code
20004_1_26,Operation code
20004_1_27,Operation code
20004_1_28,Operation code
20004_1_29,Operation code
20004_1_30,Operation code
20004_1_31,Operation code
20004_2_0,Operation code
20004_2_1,Operation code
20004_2_2,Operation code
20200_0_25,Values wanted
20004_2_3,Operation code
20004_2_4,Operation code
20004_2_5,Operation code
20004_2_6,Operation code
20004_2_7,Operation code
20004_2_8,Operation code
20004_2_9,Operation code
20004_2_10,Operation code
20004_2_11,Operation code
20004_2_12,Operation code
20004_2_13,Operation code
20004_2_14,Operation code
20004_2_15,Operation code
20004_2_16,Operation code
20004_2_17,Operation code
20004_2_18,Operation code
20004_2_19,Operation code
20004_2_20,Operation code
20004_2_21,Operation code
20004_2_22,Operation code
20004_2_23,Operation code
20004_2_24,Operation code
20004_2_25,Operation code
20004_2_26,Operation code
20004_2_27,Operation code
20004_2_28,Operation code
20004_2_29,Operation code
20004_2_30,Operation code
20004_2_31,Operation code
20004_3_0,Operation code
20004_3_1,Operation code
20004_3_2,Operation code
20004_3_3,Operation code
20004_3_4,Operation code
20004_3_5,Operation code
20004_3_6,Operation code
20004_3_7,Operation code
20004_3_8,Operation code
20004_3_9,Operation code
20004_3_10,Operation code
20004_3_11,Operation code
20004_3_12,Operation code
20004_3_13,Operation code
20004_3_14,Operation code
20004_3_15,Operation code
20004_3_16,Operation code
20004_3_17,Operation code
20004_3_18,Operation code
20004_3_19,Operation code
20004_3_20,Operation code
20004_3_21,Operation code
20004_3_22,Operation code
20004_3_23,Operation code
20004_3_24,Operation code
20004_3_25,Operation code
20004_3_26,Operation code
20004_3_27,Operation code
20004_3_28,Operation code
20004_3_29,Operation code
20004_3_30,Operation code
20004_3_31,Operation code
20006_0_0,Interpolated Year when cancer first diagnosed
20006_0_1,Interpolated Year when cancer first diagnosed
20006_0_2,Interpolated Year when cancer first diagnosed
20006_0_3,Interpolated Year when cancer first diagnosed
20006_0_4,Interpolated Year when cancer first diagnosed
20006_0_5,Interpolated Year when cancer first diagnosed
20006_1_0,Interpolated Year when cancer first diagnosed
20006_1_1,Interpolated Year when cancer first diagnosed
20006_1_2,Interpolated Year when cancer first diagnosed
20006_1_3,Interpolated Year when cancer first diagnosed
20006_1_4,Interpolated Year when cancer first diagnosed
20006_1_5,Interpolated Year when cancer first diagnosed
20006_2_0,Interpolated Year when cancer first diagnosed
20006_2_1,Interpolated Year when cancer first diagnosed
20006_2_2,Interpolated Year when cancer first diagnosed
20006_2_3,Interpolated Year when cancer first diagnosed
20006_2_4,Interpolated Year when cancer first diagnosed
20006_2_5,Interpolated Year when cancer first diagnosed
20006_3_0,Interpolated Year when cancer first diagnosed
20006_3_1,Interpolated Year when cancer first diagnosed
20006_3_2,Interpolated Year when cancer first diagnosed
20006_3_3,Interpolated Year when cancer first diagnosed
20006_3_4,Interpolated Year when cancer first diagnosed
20006_3_5,Interpolated Year when cancer first diagnosed
20007_0_0,Interpolated Age of participant when cancer first diagnosed
20007_0_1,Interpolated Age of participant when cancer first diagnosed
20007_0_2,Interpolated Age of participant when cancer first diagnosed
20007_0_3,Interpolated Age of participant when cancer first diagnosed
20007_0_4,Interpolated Age of participant when cancer first diagnosed
20007_0_5,Interpolated Age of participant when cancer first diagnosed
20007_1_0,Interpolated Age of participant when cancer first diagnosed
20007_1_1,Interpolated Age of participant when cancer first diagnosed
20007_1_2,Interpolated Age of participant when cancer first diagnosed
20007_1_3,Interpolated Age of participant when cancer first diagnosed
20007_1_4,Interpolated Age of participant when cancer first diagnosed
20007_1_5,Interpolated Age of participant when cancer first diagnosed
20007_2_0,Interpolated Age of participant when cancer first diagnosed
20007_2_1,Interpolated Age of participant when cancer first diagnosed
20007_2_2,Interpolated Age of participant when cancer first diagnosed
20007_2_3,Interpolated Age of participant when cancer first diagnosed
20007_2_4,Interpolated Age of participant when cancer first diagnosed
20007_2_5,Interpolated Age of participant when cancer first diagnosed
20007_3_0,Interpolated Age of participant when cancer first diagnosed
20007_3_1,Interpolated Age of participant when cancer first diagnosed
20007_3_2,Interpolated Age of participant when cancer first diagnosed
20007_3_3,Interpolated Age of participant when cancer first diagnosed
20007_3_4,Interpolated Age of participant when cancer first diagnosed
20007_3_5,Interpolated Age of participant when cancer first diagnosed
20008_0_0,Interpolated Year when non-cancer illness first diagnosed
20008_0_1,Interpolated Year when non-cancer illness first diagnosed
20008_0_2,Interpolated Year when non-cancer illness first diagnosed
20008_0_3,Interpolated Year when non-cancer illness first diagnosed
20008_0_4,Interpolated Year when non-cancer illness first diagnosed
20008_0_5,Interpolated Year when non-cancer illness first diagnosed
20008_0_6,Interpolated Year when non-cancer illness first diagnosed
20200_0_26,Values wanted
20008_0_7,Interpolated Year when non-cancer illness first diagnosed
20008_0_8,Interpolated Year when non-cancer illness first diagnosed
20008_0_9,Interpolated Year when non-cancer illness first diagnosed
20008_0_10,Interpolated Year when non-cancer illness first diagnosed
20008_0_11,Interpolated Year when non-cancer illness first diagnosed
20008_0_12,Interpolated Year when non-cancer illness first diagnosed
20008_0_13,Interpolated Year when non-cancer illness first diagnosed
20008_0_14,Interpolated Year when non-cancer illness first diagnosed
20008_0_15,Interpolated Year when non-cancer illness first diagnosed
20008_0_16,Interpolated Year when non-cancer illness first diagnosed
20008_0_17,Interpolated Year when non-cancer illness first diagnosed
20008_0_18,Interpolated Year when non-cancer illness first diagnosed
20008_0_19,Interpolated Year when non-cancer illness first diagnosed
20008_0_20,Interpolated Year when non-cancer illness first diagnosed
20008_0_21,Interpolated Year when non-cancer illness first diagnosed
20008_0_22,Interpolated Year when non-cancer illness first diagnosed
20008_0_23,Interpolated Year when non-cancer illness first diagnosed
20008_0_24,Interpolated Year when non-cancer illness first diagnosed
20008_0_25,Interpolated Year when non-cancer illness first diagnosed
20008_0_26,Interpolated Year when non-cancer illness first diagnosed
20008_0_27,Interpolated Year when non-cancer illness first diagnosed
20008_0_28,Interpolated Year when non-cancer illness first diagnosed
20008_0_29,Interpolated Year when non-cancer illness first diagnosed
20008_0_30,Interpolated Year when non-cancer illness first diagnosed
20008_0_31,Interpolated Year when non-cancer illness first diagnosed
20008_0_32,Interpolated Year when non-cancer illness first diagnosed
20008_0_33,Interpolated Year when non-cancer illness first diagnosed
20008_1_0,Interpolated Year when non-cancer illness first diagnosed
20008_1_1,Interpolated Year when non-cancer illness first diagnosed
20008_1_2,Interpolated Year when non-cancer illness first diagnosed
20008_1_3,Interpolated Year when non-cancer illness first diagnosed
20008_1_4,Interpolated Year when non-cancer illness first diagnosed
20008_1_5,Interpolated Year when non-cancer illness first diagnosed
